region,difficulty,investor,scenario,strategy,seed,day,gameState,cash,loan,creditLimit,creditUsage,maxCreditUsage,minCash,minTrust,minCsi,maxInventoryAndTransit,monthEndCount,netAssets,inventory,pendingOrders,soldVehicles,csi,trust,badReviews,defaultedDrafts,endingRank,bankruptcy,dismissed,won,months
"low_comp","rookie","cash_guardian","survive6","conservative",1,180,"won",7229784.917800004,660000,14428537,0.04574268340580892,0.2579639471242883,3511041.7799999993,60,89.19999999999993,8,5,7780975.317800004,2,2,63,96.57142857142838,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","cash_guardian","survive6","conservative",2,180,"won",7362699.701000004,2209465,14758959,0.149703309020643,0.23982558139534885,3280410.301000004,60,92.69999999999979,8,5,8182053.901000004,8,0,58,95.29999999999978,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","cash_guardian","survive6","balanced",1,180,"won",17623484.181800053,8557000,21031385,0.4068681163889111,0.4068681163889111,3416753.2046000003,72,92.13714285714303,28,5,18256916.981800053,28,0,148,92.13714285714303,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","cash_guardian","survive6","balanced",2,180,"won",15051988.455400007,2657708,20293163,0.13096568533944167,0.33041088299418603,3450268.8567999993,72,95.05000000000004,20,5,17044355.655400004,9,4,172,100,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","cash_guardian","survive6","aggressive",1,180,"won",14269904.512199983,3288552,20579632,0.15979644339607238,0.4837756177325581,3526374.4409999987,72,91.09999999999971,30,5,21293146.91219998,29,0,241,92.29999999999936,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","cash_guardian","survive6","aggressive",2,151,"dismissed",5208386.644600005,7102414,9487412,0.7486144799024222,0.7828296728277936,3448541.5736,23,92.06571428571425,23,5,3154972.644600004,17,0,28,96.44000000000001,23,3,0,"",false,true,false,6
"low_comp","rookie","cash_guardian","double12","conservative",1,271,"dismissed",6562676.939800038,1698474,9850925,0.17241771711793563,0.23982558139534885,3359193.5840000007,54,91.59999999999988,8,9,6943202.939800039,7,0,57,95.29999999999967,54,3,0,"",false,true,false,10
"low_comp","rookie","cash_guardian","double12","conservative",2,360,"won",13540464.775799995,1622000,16182755,0.10023015240606435,0.2637522311540539,3458103.8778,60,88.49428571428525,8,11,14506706.375799995,7,0,110,95.19428571428507,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","double12","balanced",1,360,"won",23737453.999999985,6714500,22178720,0.3027451539133007,0.3260270712209302,3502260.984799998,72,91.14285714285731,24,11,24432949.199999984,21,3,299,100,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","double12","balanced",2,360,"won",23869623.6632,5057555,22694508,0.22285369658597579,0.41395917367750634,3569716.6208,72,91.05000000000032,29,11,25181983.063199997,17,8,307,96.70000000000074,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","double12","aggressive",1,360,"won",20067762.966400128,11086537,15980261,0.6937644510311816,0.7668723458032478,3443626.0174,72,86.76285714285694,30,11,13436225.966400128,15,0,195,100,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","double12","aggressive",2,360,"won",12785846.916599926,10404192,11342575,0.917268962294717,0.917268962294717,3341294.428399998,22,90.30285714285701,30,11,6836654.916599926,15,0,106,100,22,1,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","star12","conservative",1,301,"dismissed",6619320.394600003,4290000,10793966,0.39744427581113373,0.39744427581113373,3555634.6880000005,25,89.53999999999998,8,10,4408320.394600004,7,0,22,95.24285714285723,25,3,0,"",false,true,false,11
"low_comp","rookie","cash_guardian","star12","conservative",2,360,"won",13694261.154799975,1009000,16835532,0.0599327660094139,0.25774633908851613,3271882.7142,60,88.11428571428567,8,11,15012583.554799976,4,0,133,97.34285714285667,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","star12","balanced",1,360,"won",33411485.760400027,929753,24330505,0.03821346905869812,0.33021102834302324,3658801.530399999,72,83.35000000000011,17,11,33935855.96040003,0,4,358,95.95000000000017,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","star12","balanced",2,271,"dismissed",7900207.114800008,4424622,10149601,0.43594048672455205,0.4499647777141728,2950786.2636000006,34,87.59999999999998,21,9,7930585.114800008,15,0,108,90.79999999999997,34,3,0,"",false,true,false,10
"low_comp","rookie","cash_guardian","star12","aggressive",1,271,"dismissed",15977758.487999927,11696335,12136678,0.9637179959788008,0.9637179959788008,3026954.4948,14,91.93714285714282,30,9,8736423.487999927,15,0,110,97.19999999999999,14,3,0,"",false,true,false,10
"low_comp","rookie","cash_guardian","star12","aggressive",2,360,"won",33702931.655000016,1980000,17253950,0.11475633115895201,0.5016275678263287,2984069.082199999,72,91.44285714285658,30,11,37068931.655000016,18,0,424,99.19714285714217,76,2,0,"regional_star",false,false,true,12
"low_comp","rookie","volume_growth","survive6","conservative",1,180,"won",5517466.964599998,1567381,15269582,0.10264727613368853,0.2806979212422324,3205570.1999999997,50,93.4999999999998,9,5,5901048.364599998,4,2,52,95.4999999999998,91,0,0,"excellent",false,false,true,6
"low_comp","rookie","volume_growth","survive6","conservative",2,180,"won",7968158.813400002,2107000,15645488,0.13467141453178066,0.23528343023255813,3466979.468599999,68,90.46571428571428,8,5,8000155.613400003,5,2,61,95.4314285714284,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","volume_growth","survive6","balanced",1,180,"won",11264382.880799992,1885704,18584244,0.10146788860499249,0.34361632971482553,3621482.217799999,72,91.65000000000005,18,5,12847963.68079999,6,4,160,100,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","volume_growth","survive6","balanced",2,180,"won",16595855.79040001,1320000,20677242,0.06383830106549027,0.3311571584302326,3143526.245400001,72,94.2100000000001,12,5,17143600.59040001,0,8,168,97.11000000000013,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","volume_growth","survive6","aggressive",1,180,"won",7447765.646599992,6957793,14313379,0.4861041547212576,0.7010093100715235,3056351.7797999997,72,92.05714285714261,30,5,4508895.846599992,13,2,83,97.05714285714261,100,0,0,"excellent",false,false,true,6
"low_comp","rookie","volume_growth","survive6","aggressive",2,180,"won",10079333.637999995,473349,22549914,0.02099116652950428,0.5773891038281173,3424697.9032,72,91.81428571428523,30,5,18403833.437999997,23,0,237,95.25428571428517,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","volume_growth","double12","conservative",1,360,"won",10483745.975000007,1980000,10802801,0.18328579782225,0.23528343023255813,3157390.627200001,56,92.19999999999996,8,11,10879745.975000007,8,0,93,95.29999999999956,56,2,0,"regional_star",false,false,true,12
"low_comp","rookie","volume_growth","double12","conservative",2,91,"dismissed",3229312.200000003,2309000,9109128,0.253482001789853,0.2914784615634308,3229312.200000003,6,91.22857142857146,8,3,2999312.200000003,7,0,1,95.17428571428573,6,3,0,"",false,true,false,4
"low_comp","rookie","volume_growth","double12","balanced",1,360,"won",18038273.268400054,3080933,12291215,0.2506613870150347,0.3635148516971515,3744448.567200001,56,92.1385714285715,24,11,17630340.268400054,9,1,193,95.11571428571436,56,2,0,"regional_star",false,false,true,12
"low_comp","rookie","volume_growth","double12","balanced",2,241,"dismissed",13466878.718399929,7113660,11519002,0.6175587086450719,0.6204222160144087,3201363.7908000015,34,83.5971428571429,24,8,13481218.718399927,24,0,128,94.80000000000054,34,3,0,"",false,true,false,9
"low_comp","rookie","volume_growth","double12","aggressive",1,360,"won",15255532.077200014,4190598,19567698,0.2141589674983741,0.6289157305396382,2909439.6204000004,72,87.27142857142748,30,11,20413820.477200013,27,1,322,95.27142857142735,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","volume_growth","double12","aggressive",2,211,"dismissed",9985530.295799937,2513051,10692947,0.23501949462575658,0.5184875056219751,2535660.8813999984,34,91.69714285714275,30,7,15194479.295799937,26,0,178,100,34,3,0,"",false,true,false,8
"low_comp","rookie","volume_growth","star12","conservative",1,360,"won",12543398.975999994,0,17286634,0,0.2894861587785526,2845106.054000003,28,92.25999999999999,9,11,13410638.175999993,0,2,111,98.08285714285667,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","volume_growth","star12","conservative",2,360,"won",11351612.451200042,4878000,10635478,0.45865357438565524,0.45865357438565524,3315526.0256000008,50,87.69714285714271,8,11,8552612.451200042,7,0,59,95.0971428571427,58,2,0,"regional_star",false,false,true,12
"low_comp","rookie","volume_growth","star12","balanced",1,271,"dismissed",16953005.337999955,5950580,13584061,0.4380560422983966,0.44947125050428405,3228908.0317999986,64,87.69999999999997,21,9,17239425.337999955,21,0,153,87.69999999999997,64,3,0,"",false,true,false,10
"low_comp","rookie","volume_growth","star12","balanced",2,241,"dismissed",9801469.390599973,7101359,10617311,0.6688472250648022,0.6698496673370798,3257611.783999999,30,91.3,28,8,11016110.390599973,28,0,104,95.19999999999996,30,3,0,"",false,true,false,9
