region,difficulty,investor,scenario,strategy,seed,day,gameState,cash,loan,creditLimit,creditUsage,netAssets,inventory,pendingOrders,soldVehicles,csi,trust,badReviews,defaultedDrafts,endingRank,bankruptcy,dismissed,won,months
"low_comp","rookie","cash_guardian","double12","conservative",4,241,"dismissed",6664317.1992,4463306,10806116,0.41303517378491955,4280011.199200001,7,0,21,95.2599999999999,64,3,0,"",false,true,false,9
"low_comp","rookie","cash_guardian","double12","conservative",5,360,"won",14082711.495800002,598473,16656463,0.03593037729558791,14215984.895800002,0,2,125,91.85999999999952,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","double12","conservative",6,360,"won",14192308.599600017,1604808,14977101,0.1071507763752144,14904314.199600017,7,0,108,95.57999999999966,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","double12","conservative",7,360,"won",15225100.010599999,867000,16941469,0.05117619965541359,15888587.210599998,3,0,119,96.05142857142823,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","double12","conservative",8,331,"dismissed",11409134.396599947,4872000,12087216,0.40307048372429183,8616134.396599947,7,0,65,95.15999999999963,44,3,0,"",false,true,false,12
"low_comp","rookie","cash_guardian","double12","balanced",1,271,"dismissed",13173921.217400063,4285858,11446934,0.37441099948684947,13502218.417400062,15,0,157,92.15000000000005,54,3,0,"",false,true,false,10
"low_comp","rookie","cash_guardian","double12","balanced",2,360,"won",19503908.223000094,3606856,18412085,0.19589611931511286,20141013.023000095,13,0,222,95.01571428571454,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","double12","balanced",3,360,"won",24167079.45000003,2640000,23418416,0.11273179193673902,24269263.45000003,4,8,296,95.71000000000012,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","double12","balanced",4,360,"won",24591678.8912,3772555,17855161,0.2112865294241816,26543652.6912,18,0,293,94.80000000000001,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","double12","balanced",5,271,"dismissed",13595050.748800095,4314882,11550532,0.3735656504825925,12250168.748800095,10,0,125,99,44,3,0,"",false,true,false,10
