region,difficulty,scenario,strategy,samples,winRate,bankruptcyRate,dismissalRate,avgNetAssets,avgCash,avgLoan,avgCreditUsage,avgMaxCreditUsage,avgMinCash,avgMinTrust,avgMinCsi,avgMaxInventoryAndTransit,avgSales,avgInventory,avgCsi,avgTrust
"nev_hot","hardcore","star12","balanced",10,0.4,0.2,0.4,8279856.822502976,7846171.042502975,7327882.3,0.7093868019202828,0.8547152368976354,491252.2261999999,53.3,79.25309999999999,29.2,164.5,24,95.42971428571445,58.9
"nev_hot","hardcore","star12","conservative",10,0.1,0,0.9,2048887.3759000064,2734163.515900006,3802223.5,0.4030616737340589,0.48630948218283737,1151625.60336,16,79.18428571428572,11.4,16.3,10.1,94.36493142857144,21.6
"tier1","hardcore","star12","aggressive",10,0.1,0.3,0.6,3859567.8645854266,4054614.068638578,7670479.963393152,0.8167614229415472,0.9749873741543917,594309.28282,44.9,79.06714285714285,29.7,148.6,25.2,97.20965999999976,46.1
"tier1","hardcore","star12","balanced",10,0.2,0.4,0.4,5143031.322340002,7064809.682340002,9069753.4,0.8999042810137577,0.9312967230238314,1227812.7470599995,57.4,79.21114285714286,29.2,115.7,23,96.57858571428599,58.4
"tier1","hardcore","star12","conservative",10,0.4,0,0.6,3658292.4277600036,4781744.447760003,4343552.1,0.4336721194824418,0.4756323076775675,1406656.023580001,26.1,79.67942857142857,12,41.7,10.6,94.79532857142844,40.8
"capital","rookie","star12","aggressive",10,0.4,0.1,0.5,25942831.231519997,23856226.711519998,4590490.6,0.34372418124111137,0.6333173894595259,3086935.63134,51.3,90.89114285714248,30,339.4,19.2,97.42571428571385,62.5
"capital","rookie","star12","balanced",10,0.7,0,0.3,17165168.86948002,18158064.70948002,6140600.4,0.415237963065359,0.47304971469695667,3341608.06974,57.9,90.32828571428587,22.2,192.4,15.8,95.71857142857158,72.9
"capital","rookie","star12","conservative",10,0.6,0,0.4,6531585.743460001,7176382.023460001,2847359,0.24632148542763246,0.295040082175983,3292122.681479999,40.6,90.444857142857,8.2,45.8,7.3,95.03171428571409,61.4
"low_comp","rookie","star12","aggressive",10,0.5,0,0.5,26339948.900720034,24515866.200720035,4916670.9,0.36188778041423697,0.603342194987878,3042612.530020001,51,91.12057142857117,29.9,310.1,21,97.46485714285666,61.9
"low_comp","rookie","star12","balanced",10,0.6,0,0.4,20273352.047899995,19418810.407899998,5194654.2,0.3464914440046923,0.44519274541622045,3309790.3581599994,62.4,89.32285714285723,23.2,221.4,17.6,94.95542857142868,78.8
"low_comp","rookie","star12","conservative",10,0.8,0,0.2,9831564.234260017,10721494.374260018,2866724.3,0.24216488756330118,0.3277244919393282,3294836.2377200006,47.3,88.80085714285704,8.2,71.2,5.8,94.8291428571426,77.7
"nev_hot","rookie","star12","aggressive",10,0.2,0,0.8,13380892.974719984,12833248.134719986,5819929.8,0.47014175488446763,0.6670863052868545,1876304.3297599994,45.6,90.2428571428568,30,210.9,20.4,97.37828571428528,50
"nev_hot","rookie","star12","balanced",10,0.4,0,0.6,17169412.465499993,17216029.605499994,6006443.3,0.4403168093159426,0.49091948843584665,2642504.6026599994,53.8,90.66628571428582,23.5,193.9,17.9,95.18214285714296,62
"nev_hot","rookie","star12","conservative",10,0.3,0,0.7,6411092.888480005,6762358.728480006,2730714.8,0.25500342997107495,0.2959483766843684,3104036.8157199994,31.4,89.70742857142847,8.4,43.9,7.4,94.98342857142836,43.2
