region,difficulty,investor,scenario,strategy,seed,day,gameState,cash,loan,creditLimit,creditUsage,maxCreditUsage,minCash,minTrust,minCsi,maxInventoryAndTransit,monthEndCount,netAssets,inventory,pendingOrders,soldVehicles,csi,trust,badReviews,defaultedDrafts,endingRank,bankruptcy,dismissed,won,months
"capital","standard","roi_first","survive6","conservative",1,180,"won",5861772.537600008,809817,14100168,0.05743314547741559,0.3165,2576497.879600004,60,85.78857142857133,11,5,6827470.737600008,3,0,61,95.44285714285704,100,0,0,"regional_star",false,false,true,6
"capital","standard","roi_first","survive6","balanced",1,180,"won",8832420.543800004,588874,17917822,0.03286526677182081,0.4955271207169104,2506107.5440000007,72,90,30,5,12154648.143800003,9,8,163,93.58000000000024,100,0,0,"regional_star",false,false,true,6
"capital","standard","roi_first","survive6","aggressive",1,180,"won",11671633.075800005,2331697,22727735,0.10259258126689703,0.8208948,2383236.1330000013,72,90,30,5,16289542.475800004,18,6,242,95.01999999999948,100,0,0,"regional_star",false,false,true,6
