region,difficulty,scenario,strategy,samples,winRate,bankruptcyRate,dismissalRate,avgNetAssets,avgCash,avgLoan,avgCreditUsage,avgSales,avgInventory,avgCsi,avgTrust
"nev_hot","rookie","star12","aggressive",40,0.225,0.225,0.55,14100957.498714998,13386292.793714996,6594845.675,0.598883277424672,199.8,21.3,97.74949999999968,57.425
"nev_hot","rookie","star12","balanced",40,0.425,0,0.575,13083035.085029986,14118341.670029983,5888445.725,0.47645116108163543,149.45,15.325,95.15264285714301,56.825
"nev_hot","rookie","star12","conservative",40,0.35,0,0.65,5400004.398115001,5940455.753115001,2774467.675,0.26042819272018053,30.525,7.15,94.95985714285702,42.275
"tier1","rookie","star12","aggressive",40,0.225,0.15,0.625,16439356.025449988,15533315.025449995,6210985.4,0.5395899496176504,244.55,22.35,97.73285714285677,57.775
"tier1","rookie","star12","balanced",40,0.325,0,0.675,12101421.248495007,13275512.903495006,6012851.875,0.5061189340170064,137.7,15.925,93.89758928571439,53.575
"tier1","rookie","star12","conservative",40,0.375,0,0.625,5558754.934269994,6435214.559269993,2845657.625,0.2651516086087408,34.725,6.5,94.238357142857,43.85
"capital","standard","star12","aggressive",40,0.325,0,0.675,16070609.788544979,15303668.748544982,5865247,0.49593667208637315,260.175,21.8,97.81178571428532,51.275
"capital","standard","star12","balanced",40,0.4,0,0.6,12377506.98649499,14171798.861494992,7491301.375,0.6073182465402542,162.8,18.6,95.60450000000007,54.425
"capital","standard","star12","conservative",40,0.25,0,0.75,4519072.993379997,5439452.818379996,3297376.425,0.3256383728627136,35.075,7.925,94.55592857142844,39.9
"low_comp","standard","star12","aggressive",40,0.625,0,0.375,23647044.855099984,21362160.93509998,4794899.3,0.31874273744699366,342.825,21.625,97.37607142857084,68.4
"low_comp","standard","star12","balanced",40,0.525,0,0.475,14594384.059510008,15225665.15951001,6695122.9,0.49910147741573735,198.725,18.775,95.90292857142869,66.575
"low_comp","standard","star12","conservative",40,0.5,0,0.5,6546110.785790002,7599958.855790001,3349486.35,0.299874492925475,55.7,7.35,94.4552857142855,61.15
"nev_hot","standard","star12","aggressive",40,0.2,0.225,0.575,12676305.773825165,12205845.860110179,7051438.606285011,0.6497621474547308,231.725,21.775,97.39614285714245,55.9
"nev_hot","standard","star12","balanced",40,0.25,0.075,0.675,9007901.301095,10066561.086095,7198718.025,0.652692198450709,133.45,19.35,95.63557142857161,51.6
"nev_hot","standard","star12","conservative",40,0.25,0,0.75,4365723.5059050005,5332049.930905,3460803.825,0.3364494046960571,33.4,8.275,94.3875714285713,40
"tier1","standard","star12","aggressive",40,0.175,0.3,0.525,8613049.556065006,9272772.816065008,7951769.4,0.7412720269618733,183.8,22.075,97.08121428571403,55.75
"tier1","standard","star12","balanced",40,0.25,0.125,0.625,9500547.400069995,10710403.705069993,7691150.025,0.7005177645460263,143.275,20.8,95.30825000000016,52.525
"tier1","standard","star12","conservative",40,0.225,0,0.775,3979705.3155749976,5044602.665574996,3411912.25,0.3406270202586081,30.675,7.775,94.54992857142841,37.275
"capital","hardcore","survive6","aggressive",40,0.8,0,0.2,9410863.923937723,6839812.488453572,4875034.174282139,0.3960899268847481,195.375,22.075,96.11082714285676,83.575
"capital","hardcore","survive6","balanced",40,0.825,0.125,0.05,6885488.489650002,6091102.884650001,6126674.475,0.510983658623974,119.55,19.8,96.8115757142859,86.2
"capital","hardcore","survive6","conservative",40,0.725,0,0.275,3508977.5998949995,3400898.264895001,2531552.225,0.2331353593357651,36.925,7.75,95.4693221428571,67.5
"low_comp","hardcore","survive6","aggressive",40,0.975,0,0.025,12125274.211797845,8486782.990450073,3305257.7080347682,0.21206881164044522,237.325,17.625,95.62708571428526,95.65
"low_comp","hardcore","survive6","balanced",40,0.95,0,0.05,8317174.0522449985,7582028.2222449975,4631990.95,0.32685531765409204,146.225,13.45,97.87972571428585,96.7
"low_comp","hardcore","survive6","conservative",40,0.875,0,0.125,4308829.057014999,4017013.542015001,2026402.425,0.18355837271573736,44.675,6.45,95.66149571428559,75.275
"nev_hot","hardcore","survive6","aggressive",40,0.825,0.025,0.15,8175883.556376847,4862374.4483482195,5589866.1523108985,0.4117581320465371,203.425,22.575,94.99906285714245,87.275
"nev_hot","hardcore","survive6","balanced",40,0.6,0.125,0.275,4429346.562468226,3597356.050908527,7148711.408440301,0.6362665853095146,102.775,21.1,96.90304928571443,79.75
"nev_hot","hardcore","survive6","conservative",40,0.55,0,0.45,2519588.7118699993,2549191.891869999,2893475.5,0.28835794617015353,25.975,8.2,95.03259571428568,49.575
"tier1","hardcore","survive6","aggressive",40,0.55,0.175,0.275,4034464.3373311954,3364071.5959821744,7166005.03470598,0.6933431667280986,129.7,24.175,97.16258714285695,71.025
"tier1","hardcore","survive6","balanced",40,0.8,0.125,0.075,5549009.090459999,5126871.43046,6867659.7,0.5313648459760673,123.525,20.625,97.30143071428584,92.8
"tier1","hardcore","survive6","conservative",40,0.6,0,0.4,2900876.47458,2797861.6145800008,2737234,0.27240604333814006,28.025,8.775,94.39998642857137,55.1
"capital","rookie","survive6","aggressive",40,0.9,0.05,0.05,12714551.247835005,10647144.522835003,5513883.975,0.41377071785646535,188.925,20.6,96.16535714285673,89.15
"capital","rookie","survive6","balanced",40,0.975,0,0.025,11305240.366294997,10152681.711294992,4673519.325,0.3266899411066693,124.725,15.85,98.06396428571433,94.1
"capital","rookie","survive6","conservative",40,0.8,0,0.2,5382242.710565003,5168333.735565001,1624913.025,0.1442226856494799,31.9,5.2,95.2550714285713,69.975
